fs.tot
(-5.26342773090545, 0.18949053668938343)
(-5.473918442910908, 0.08731044366282532)
(-5.714251130798945, 0.13179647228641897)
(-5.382378394451196, 0.23604073927997282)
(-5.265997165588168, 0.47563589110583243)
(-5.152526479366528, 0.14120138138179072)
(-5.531865827215926, 0.1456546277276261)
(-5.491221935362161, 0.12229579718396574)
(-5.375001736386632, 0.25328546533676055)
(-5.413377329053892, 0.09662577806247576)
(-5.111614522163265, 0.28402481917552796)
(-5.4250315908393345, 0.15016970565010992)
(-5.465486111103692, 0.16081041481556665)
(-5.8858475471484555, 0.4323688907984714)
(-5.586777452390422, 0.14574426840434854)
(-5.209364531465483, 0.3051760768119161)
(-5.054042689340312, 0.30717758486724833)
(-5.223922533865805, 0.18567027092202523)
(-5.234697001115419, 0.1275980596535429)
(-5.503635840063064, 0.17118084020721175)
(-5.416938551107504, 0.08855354674346412)
(-5.376663527499311, 0.37818365223914324)
(-5.320609122762277, 0.16792334012329163)
(-5.118803346828587, 0.0722020236395072)
(-5.636234307444682, 0.21140487396423346)
(-5.433543408181456, 0.25936414491360243)
(-5.473432362525293, 0.13774849480278978)
(-5.433525735246939, 0.09790521829575999)
(-5.224491347655235, 0.19698948980561268)
(-5.484700172954537, 0.1325356719985793)
(-5.32228225984497, 0.09790316338151776)
(-5.321909331485771, 0.12877973283741448)
(-5.480522249843519, 0.12980744183999346)
(-5.235052637937963, 0.16529063772438238)
(-5.4107552732546775, 0.20370996408561923)
(-5.742279568102959, 0.17436894551428164)
(-5.407649698988393, 0.22679870931092186)
(-5.183592533731044, 0.3459949690303036)
(-5.670525390362692, 0.26315392907529656)
(-5.749635381215705, 0.3687254947607055)
(-5.269040846126963, 0.47667664531559284)
(-5.354507920822197, 0.22155147508205708)
(-5.04575147969981, 0.2519527396505062)
(-5.553882000137587, 0.10315988364476283)
(-5.098348727615226, 0.30542414440352167)
(-5.3138316917290185, 0.23447543482495578)
(-5.427847299420572, 0.3941557814261027)
(-5.71665444436876, 0.29566752764365023)
(-5.466932034482416, 0.13974059034981412)
(-5.2798265824769555, 0.20495081296959428)
(-5.306167510643889, 0.26830557956677087)
(-5.487654038674657, 0.2075105776559695)
(-5.120710909860235, 0.1919528107236589)
(-5.654726205087641, 0.2720844815822607)
(-5.320108582932217, 0.1951827983090355)
(-5.084277590083088, 0.28682033254337264)
(-5.244461543782469, 0.15729059098500847)
(-5.464745899118087, 0.28187280892849687)
(-5.759953217009153, 0.13370603963208316)
(-5.2964526111894985, 0.3229417849242441)
(-5.374144617962182, 0.19134056271582395)
(-5.118353240698051, 0.3072912919423918)
(-5.258545991514035, 0.09790017027642617)
(-5.712455122504167, 0.26821073002071466)
(-5.409655401370462, 0.12275998277611083)
(-5.613055696099876, 0.3167452347985798)
(-4.975427962546305, 0.2832752584712564)
(-5.46470297005622, 0.17759393160374076)
(-5.189396799902623, 0.19610830237349322)
(-5.134258892741578, 0.1654460089631817)
(-5.167937412540775, 0.257040316990886)
(-5.687186683324032, 0.09793326981482568)
